FlightDate,Daily_Flights,Avg_Preceding_3_Days
2017-11-01,15413,
2017-11-02,15867,
2017-11-03,15856,
2017-11-04,12594,15712.00
2017-11-05,15119,14772.33
2017-11-06,15740,14523.00
2017-11-07,15146,14484.33
2017-11-08,15657,15335.00
2017-11-09,16170,15514.33
2017-11-10,16194,15657.67
2017-11-11,12542,16007.00
2017-11-12,15377,14968.67
2017-11-13,16054,14704.33
2017-11-14,15460,14657.67
2017-11-15,15746,15630.33
2017-11-16,16215,15753.33
2017-11-17,16383,15807.00
2017-11-18,13396,16114.67
2017-11-19,14959,15331.33
2017-11-20,15134,14912.67
2017-11-21,15743,14496.33
2017-11-22,16304,15278.67
2017-11-23,9839,15727.00
2017-11-24,12123,13962.00
2017-11-25,15546,12755.33
2017-11-26,16987,12502.67
2017-11-27,16578,14885.33
2017-11-28,15147,16370.33
2017-11-29,15188,16237.33
2017-11-30,15685,15637.67
